authorName;bookTitle;links;avg_rating;ratings;published;edition;rank
Scott Hartshorn;Probability With The Binomial Distribution And Pascal's Triangle: A Key Idea In Statistics;https://www.goodreads.com/book/show/33820331-probability-with-the-binomial-distribution-and-pascal-s-triangle;4,45;31;NA;1;182
Neil A. Weiss;Introductory Statistics;https://www.goodreads.com/book/show/260219.Introductory_Statistics;3,52;120;1987;60;183
W.J. Conover;Practical Nonparametric Statistics;https://www.goodreads.com/book/show/789370.Practical_Nonparametric_Statistics;3,77;39;1971;5;184
James Dean Brown;Understanding Research in Second Language Learning: A Teacher's Guide to Statistics and Research Design;https://www.goodreads.com/book/show/1041626.Understanding_Research_in_Second_Language_Learning;3,97;33;1988;2;185
Sidney Siegel;Nonparametric Statistics for the Behavioral Sciences;https://www.goodreads.com/book/show/77561.Nonparametric_Statistics_for_the_Behavioral_Sciences;3,84;38;1956;7;186
Steven Woloshin;Know Your Chances: Understanding Health Statistics;https://www.goodreads.com/book/show/3672965-know-your-chances;3,71;58;2008;2;187
Alex J. Gutman;Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning;https://www.goodreads.com/book/show/56357967-becoming-a-data-head;4,31;51;NA;4;188
Basilia Ebora Blay;Elementary Statistics;https://www.goodreads.com/book/show/11566370-elementary-statistics;4,05;21;2005;1;189
Richard von Mises;Probability, Statistics and Truth;https://www.goodreads.com/book/show/386484.Probability_Statistics_and_Truth;3,92;39;1981;2;190
John Verzani;Solutions Manual for Using R for Introductory Statistics;https://www.goodreads.com/book/show/3135446-solutions-manual-for-using-r-for-introductory-statistics;4,64;11;2004;1;191
Sheldon M. Ross;Introduction to Probability and Statistics for Engineers and Scientists, Student Solutions Manual;https://www.goodreads.com/book/show/16583378-introduction-to-probability-and-statistics-for-engineers-and-scientists;3,64;25;2009;3;192
Boundless;Statistics;https://www.goodreads.com/book/show/18651791-statistics;3,80;49;2013;1;194
R.S.N. Pillai;Statistics: Theory and Practice;https://www.goodreads.com/book/show/45890890-statistics;4,00;16;NA;3;195
